vertex.names,Nickname,City,State.1.,Enrollment,CurrentConference,FormerConferences,FirstPlayed,JoinedFBS,Level
Murray State,Racers,Murray,Kentucky,NA,Ohio Valley,NA,1924,,FCS
New Hampshire,Wildcats,Durham,New Hampshire,NA,CAA,NA,1893,,FCS
Nicholls,Colonels,Thibodaux,Louisiana,NA,Southland,NA,1972,,FCS
Norfolk State,Spartans,Norfolk,Virginia,NA,MEAC,NA,1938,,FCS
North Carolina A&T,Aggies,Greensboro,North Carolina,NA,MEAC[f],NA,1901,,FCS
North Carolina Central,Eagles,Durham,North Carolina,NA,MEAC,NA,1921,,FCS
North Dakota,Fighting Hawks,Grand Forks,North Dakota,NA,Missouri Valley[g],NA,1894,,FCS
North Dakota State,Bison,Fargo,North Dakota,NA,Missouri Valley,NA,1894,,FCS
Northern Arizona,Lumberjacks,Flagstaff,Arizona,NA,Big Sky,NA,1915,,FCS
Northern Colorado,Bears,Greeley,Colorado,NA,Big Sky,NA,1892,,FCS
Northern Iowa,Panthers,Cedar Falls,Iowa,NA,Missouri Valley,NA,1895,,FCS
Northwestern State,Demons,Natchitoches,Louisiana,NA,Southland,NA,1907,,FCS
Penn,Quakers,Philadelphia,Pennsylvania,NA,Ivy,NA,1876,,FCS
Portland State,Vikings,Portland[h],Oregon,NA,Big Sky,NA,1947,,FCS
Prairie View A&M,Panthers,Prairie View,Texas,NA,SWAC,NA,1906,,FCS
Presbyterian,Blue Hose,Clinton,South Carolina,NA,Independent[i],NA,1913,,FCS
Princeton,Tigers,Princeton,New Jersey,NA,Ivy,NA,1869,,FCS
Rhode Island,Rams,Kingston,Rhode Island,NA,CAA,NA,1895,,FCS
Richmond,Spiders,Richmond,Virginia,NA,CAA,NA,1881,,FCS
Robert Morris,Colonials,Moon Township,Pennsylvania,NA,Independent[j],NA,1994,,FCS
Sacramento State,Hornets,Sacramento,California,NA,Big Sky,NA,1954,,FCS
Sacred Heart,Pioneers,Fairfield,Connecticut,NA,Northeast,NA,1991,,FCS
Saint Francis,Red Flash,Loretto,Pennsylvania,NA,Northeast,NA,1909,,FCS
Sam Houston State,Bearkats,Huntsville,Texas,NA,Southland,NA,1912,,FCS
Samford,Bulldogs,Birmingham,Alabama,NA,Southern,NA,1902,,FCS
San Diego,Toreros,San Diego,California,NA,Pioneer,NA,1956,,FCS
South Carolina State,Bulldogs,Orangeburg,South Carolina,NA,MEAC,NA,1906,,FCS
South Dakota,Coyotes,Vermillion,South Dakota,NA,Missouri Valley,NA,1889,,FCS
South Dakota State,Jackrabbits,Brookings,South Dakota,NA,Missouri Valley,NA,1889,,FCS
Southeast Missouri State,Redhawks,Cape Girardeau,Missouri,NA,Ohio Valley,NA,1902,,FCS
Southeastern Louisiana,Lions,Hammond,Louisiana,NA,Southland,NA,1930,,FCS
Southern,Jaguars,Baton Rouge,Louisiana,NA,SWAC,NA,1915,,FCS
Southern Illinois,Salukis,Carbondale,Illinois,NA,Missouri Valley,NA,1904,,FCS
Southern Utah,Thunderbirds,Cedar City,Utah,NA,Big Sky,NA,1929,,FCS
Stephen F. Austin,Lumberjacks,Nacogdoches,Texas,NA,Southland,NA,1923,,FCS
Stetson,Hatters,DeLand,Florida,NA,Pioneer,NA,1901,,FCS
Stony Brook,Seawolves,Stony Brook,New York,NA,CAA,NA,1969,,FCS
Tennessee State,Tigers,Nashville,Tennessee,NA,Ohio Valley,NA,1916,,FCS
Tennessee Tech,Golden Eagles,Cookeville,Tennessee,NA,Ohio Valley,NA,1917,,FCS
Texas Southern,Tigers,Houston,Texas,NA,SWAC,NA,1947,,FCS
Towson,Tigers,Towson,Maryland,NA,CAA,NA,1968,,FCS
UC Davis,Aggies,Davis,California,NA,Big Sky,NA,1915,,FCS
UT Martin,Skyhawks,Martin,Tennessee,NA,Ohio Valley,NA,1953,,FCS
Valparaiso,Crusaders,Valparaiso,Indiana,NA,Pioneer,NA,1906,,FCS
Villanova,Wildcats,Villanova,Pennsylvania,NA,CAA,NA,1894,,FCS
VMI,Keydets,Lexington,Virginia,NA,Southern,NA,1873,,FCS
Wagner,Seahawks,New York,New York,NA,Northeast,NA,1927,,FCS
Weber State,Wildcats,Ogden,Utah,NA,Big Sky,NA,1962,,FCS
Western Carolina,Catamounts,Cullowhee,North Carolina,NA,Southern,NA,1931,,FCS
Western Illinois,Leathernecks,Macomb,Illinois,NA,Missouri Valley,NA,1903,,FCS
William & Mary,Tribe,Williamsburg,Virginia,NA,CAA,NA,1893,,FCS
Wofford,Terriers,Spartanburg,South Carolina,NA,Southern,NA,1889,,FCS
Yale,Bulldogs,New Haven,Connecticut,NA,Ivy,NA,1872,,FCS
Youngstown State,Penguins,Youngstown,Ohio,NA,Missouri Valley,NA,1938,,FCS
